k=7.500e+02, gamma=0.500, dt=0.0100, T=1, stopTime=10.0000
min radius=0.200, max radius=2.000
N=250, Lx=100.0000, Ly=100.0000

# initial positions: i, x, y, r
i,x,y,r
242,32.66851,55.48745,0.50556
243,18.68411,76.76297,1.18379
244,57.59172,65.06394,1.41104
245,59.20956,14.02094,0.30009
246,2.12139,12.34723,0.53103
247,25.67123,85.59793,0.24933
248,15.52709,52.40194,0.62384
249,89.02780,1.35439,0.46328

# cycle,area
cycle,area
0,9832.48793
1,9889.68641
2,9804.78093
3,9688.15121
4,9611.52817
5,9556.05089
6,9463.95085
7,9358.65210
8,9340.17988
9,9330.12663
10,9307.76608
11,9206.44626
12,9153.63957
13,9067.99411
14,9016.38997
15,8945.40808
16,8903.93874
17,8858.38683
18,8807.24848
19,8749.34890
20,8726.83554
21,8698.00166
22,8643.79560
23,8590.52552
24,8532.59717
25,8493.17423
26,8436.31107
27,8414.72264
28,8391.70010
29,8351.81470
30,8340.26419
31,8327.56989
32,8288.44492
33,8254.58374
34,8216.18721
35,8197.40526
36,8141.89986
37,8107.16991
38,8042.06167
39,8014.36541
40,7985.57051
41,7953.16730
42,7947.11708
43,7881.71829
44,7859.44359
45,7817.83556
46,7773.08198
47,7755.76126
48,7729.41180
49,7714.01676
50,7659.25742
51,7611.64817
52,7593.51667
53,7568.50291
54,7548.13359
55,7537.83882
56,7507.43656
57,7485.29171
58,7474.79444
59,7433.39955
60,7422.53331
61,7399.32206
62,7380.40269
63,7350.20954
64,7344.94867
65,7326.00106
66,7279.13773
67,7259.24567
68,7229.23278
69,7202.25845
70,7172.19584
71,7132.75526
72,7096.99519
73,7068.56493
74,7031.01384
75,6996.51991
76,6969.13047
77,6958.21846
78,6946.32554
79,6933.48483
80,6923.36725
81,6901.08156
82,6882.55069
83,6867.52164
84,6842.47815
85,6824.12076
86,6804.85531
87,6788.26876
88,6779.05529
89,6764.74731
90,6747.49991
91,6719.38131
92,6698.56143
93,6672.25537
94,6658.60017
95,6644.53636
96,6633.11835
97,6619.41351
98,6594.36478
99,6583.75496
100,6561.97135
101,6550.29848
102,6543.87144
103,6535.85693
104,6509.39389
105,6480.51884
106,6455.99378
107,6441.17380
108,6425.15927
109,6406.01503
110,6384.58797
111,6366.16003
112,6358.26448
113,6348.47434
114,6339.07148
115,6322.35220
116,6308.59203
117,6296.95404
118,6283.39078
119,6267.34848
120,6245.53752
121,6221.99760
122,6214.85788
123,6169.80141
124,6155.74141
125,6124.53008
126,6112.24618
127,6102.72709
128,6088.23012
129,6082.03252
130,6066.17941
131,6051.72383
132,6043.66737
133,6030.82828
134,6010.69227
135,5999.03353
136,5972.62894
137,5957.67283
138,5951.03100
139,5946.76734
140,5927.24101
141,5910.70057
142,5898.06297
143,5884.45727
144,5872.35625
145,5841.77684
146,5833.47738
147,5820.54902
148,5810.46516
149,5794.46061
150,5747.21484
151,5720.87027
152,5686.35340
153,5666.36566
154,5660.37123
155,5656.15946
156,5630.88784
157,5614.29130
158,5598.72479
159,5577.67954
160,5564.22613
161,5553.80772
162,5530.54684
163,5515.55785
164,5502.88747
165,5497.55359
166,5485.16970
167,5466.79386
168,5439.08327
169,5418.51863
170,5401.44947
171,5393.02089
172,5383.16051
173,5373.88755
174,5369.99645
175,5333.65974
176,5320.85193
177,5305.35227
178,5298.93668
179,5283.29047
180,5270.58238
181,5253.61435
182,5227.46639
183,5215.04077
184,5186.11625
185,5172.37039
186,5164.55590
187,5149.73700
188,5134.23272
189,5124.42799
190,5109.90023
191,5098.06684
192,5067.37236
193,5058.56178
194,5031.49960
195,5016.26800
196,5003.56308
197,4990.85915
198,4983.24907
199,4980.25459
200,4944.14926
201,4920.92129
202,4911.69726
203,4904.14864
204,4882.60128
205,4842.75082
206,4833.71499
207,4819.92413
208,4791.34893
209,4779.20224
210,4768.35575
211,4762.19940
212,4744.28690
213,4739.84898
214,4733.11857
215,4722.11279
216,4715.72925
217,4700.83463
218,4693.34415
219,4678.15635
220,4667.13395
221,4660.76198
222,4655.59359
223,4646.50707
224,4626.41596
225,4620.39454
226,4608.35964
227,4595.09977
228,4567.79768
229,4557.49114
230,4544.71248
231,4534.80653
232,4518.61246
233,4492.37650
234,4477.16443
235,4464.90232
236,4457.23271
237,4453.86063
238,4437.18500
239,4428.03224
240,4417.52844
241,4415.66617
242,4408.26949
243,4401.68668
244,4379.24599
245,4363.31259
246,4342.27254
247,4323.20051
248,4306.78945
249,4292.46922
250,4267.21724
251,4262.27743
252,4249.81850
253,4242.09931
254,4237.98386
255,4226.35302
256,4208.94105
257,4198.56561
258,4189.78504
259,4175.40246
260,4162.44829
261,4150.75234
262,4134.80981
263,4122.63892
264,4097.03628
265,4067.05150
266,4044.32700
267,4032.73301
268,4029.62661
269,4022.37429
270,4007.24785
271,3998.27091
272,3981.34124
273,3957.95359
274,3952.04920
275,3940.09110
276,3933.03616
277,3924.77103
278,3916.52567
279,3902.72299
280,3896.27475
281,3885.33725
282,3875.11025
283,3867.95569
284,3854.59533
285,3849.71770
286,3830.45633
287,3817.81501
288,3811.32987
289,3805.27566
290,3795.50892
291,3792.37562
292,3779.19684
293,3774.25701
294,3767.17608
295,3752.54265
296,3742.97035
297,3735.05095
298,3722.09303
299,3707.26888
300,3697.96252
301,3689.38028
302,3678.83862
303,3671.95046
304,3667.14951
305,3658.08912
306,3644.84029
307,3636.60564
308,3623.81347
309,3610.83628
310,3603.13688
311,3593.21238
312,3589.77075
313,3579.23415
314,3562.72222
315,3555.42958
316,3553.42745
317,3532.87825
318,3519.86598
319,3507.19493
320,3493.36678
321,3484.64001
322,3481.67240
323,3472.97458
324,3469.81785
325,3460.37706
326,3452.71138
327,3436.46869
328,3413.70237
329,3407.50697
330,3397.92138
331,3389.75484
332,3380.27153
333,3372.99013
334,3368.11884
335,3365.85207
336,3365.20317
337,3350.79376
338,3338.90100
339,3330.46046
340,3324.54836
341,3322.61519
342,3315.00572
343,3304.91487
344,3298.11117
345,3283.69402
346,3275.33151
347,3268.86667
348,3266.17765
349,3260.11567
350,3255.80914
351,3251.27887
352,3247.83950
353,3238.70737
354,3234.16414
355,3227.44026
356,3222.67509
357,3217.56697
358,3211.25285
359,3203.63370
360,3197.95938
361,3187.62693
362,3179.22861
363,3165.87906
364,3162.08326
365,3150.21112
366,3144.58647
367,3135.02867
368,3125.19593
369,3117.07621
370,3109.99928
371,3100.42404
372,3093.50375
373,3083.38382
374,3074.93654
375,3067.53402
376,3056.46684
377,3044.54989
378,3035.67065
379,3026.19112
380,3021.97080
381,3016.57166
382,3003.09396
383,2993.51573
384,2987.67585
385,2974.89478
386,2969.77812
387,2960.26770
388,2952.73306
389,2949.87678
390,2939.76588
391,2931.04401
392,2926.30276
393,2918.73967
394,2913.83539
395,2905.78529
396,2901.55907
397,2889.25819
398,2882.80685
399,2874.79690
400,2873.61629
401,2861.07143
402,2850.71803
403,2849.78182
404,2836.60226
405,2831.65109
406,2823.09324
407,2819.23478
408,2801.26461
409,2790.84779
410,2777.39390
411,2768.43477
412,2759.90321
413,2753.96837
414,2747.28737
415,2745.73214
416,2738.42415
417,2730.70744
418,2723.73799
419,2716.92926
420,2706.36455
421,2699.88286
422,2693.50542
423,2686.48100
424,2682.14359
425,2676.37441
426,2669.90701
427,2663.99953
428,2657.11982
429,2650.88331
430,2647.50977
431,2641.44156
432,2634.69694
433,2628.35333
434,2623.52583
435,2615.60833
436,2609.23973
437,2606.03679
438,2597.42318
439,2593.12661
440,2582.57812
441,2573.09320
442,2567.44301
443,2562.70412
444,2554.31257
445,2549.87263
446,2545.82976
447,2542.29673
448,2537.10631
449,2534.31322
450,2531.69614
451,2526.91780
452,2522.84914
453,2517.14160
454,2511.94180
455,2505.57362
456,2499.44349
457,2484.79477
458,2474.95272
459,2468.89728
460,2460.72656
461,2458.03019
462,2456.75055
463,2453.05647
464,2448.24368
465,2442.19115
466,2434.94321
467,2430.57007
468,2425.31911
469,2420.55234
470,2409.08003
471,2405.70575
472,2399.94213
473,2394.33386
474,2389.06780
475,2381.58666
476,2377.50315
477,2373.35463
478,2366.43041
479,2364.38438
480,2361.41041
481,2354.16342
482,2349.85294
483,2346.56368
484,2339.79241
485,2335.27853
486,2330.72353
487,2326.61256
488,2324.18841
489,2315.91650
490,2309.82172
491,2309.30482
492,2307.23192
493,2302.13813
494,2298.21494
495,2292.05937
496,2290.37731
497,2287.19525
498,2284.75406
499,2279.79436
500,2276.73826
501,2272.87605
502,2269.43006
503,2263.90697
504,2261.95231
505,2257.75195
506,2249.03822
507,2243.98764
508,2239.34494
509,2236.05873
510,2233.85510
511,2227.89173
512,2224.18801
513,2221.52763
514,2218.53891
515,2217.74934
516,2213.03609
517,2208.51305
518,2206.30979
519,2198.76359
520,2195.62823
521,2190.51765
522,2184.34781
523,2175.74510
524,2171.82879
525,2170.12359
526,2166.20533
527,2163.28871
528,2156.68141
529,2148.85051
530,2145.06065
531,2139.70825
532,2131.32386
533,2124.93757
534,2121.13380
535,2115.40703
536,2114.37436
537,2112.48538
538,2109.25591
539,2102.65716
540,2096.97554
541,2094.30271
542,2092.08615
543,2088.42713
544,2082.92494
545,2081.01958
546,2078.26470
547,2073.14930
548,2068.29290
549,2063.92773
550,2054.31717
551,2051.79102
552,2046.47332
553,2041.34057
554,2038.11356
555,2034.97355
556,2031.24326
557,2028.66606
558,2024.48536
559,2020.12962
560,2017.99325
561,2015.25571
562,2014.51437
563,2009.37093
564,2007.12608
565,2003.81640
566,1999.53255
567,1997.89816
568,1995.61938
569,1991.58756
570,1988.17908
571,1983.63816
572,1981.45475
573,1977.86663
574,1975.72164
575,1973.52748
576,1970.32014
577,1966.55892
578,1963.34066
579,1960.82494
580,1959.18749
581,1956.01299
582,1952.27925
583,1948.72537
584,1943.89284
585,1939.47664
586,1935.14951
587,1933.91499
588,1929.29061
589,1928.50805
590,1927.87973
591,1927.44094
592,1925.14265
593,1921.79040
594,1920.38078
595,1917.63378
596,1914.54514
597,1910.95821
598,1909.02252
599,1906.39479
600,1903.75695
601,1901.24197
602,1896.17577
603,1894.82918
604,1890.65856
605,1888.60233
606,1884.98916
607,1881.42531
608,1877.12873
609,1872.55034
610,1868.10687
611,1866.66866
612,1861.67443
613,1860.11442
614,1858.53691
615,1854.35983
616,1851.10754
617,1849.30189
618,1846.47349
619,1844.04599
620,1843.03381
621,1840.19516
622,1838.92873
623,1836.32581
624,1832.10341
625,1831.16968
626,1829.51410
627,1827.82893
628,1826.84964
629,1822.80797
630,1820.18032
631,1817.36888
632,1814.45654
633,1809.35092
634,1806.98888
635,1805.70730
636,1803.47759
637,1800.28380
638,1796.95017
639,1795.30624
640,1793.02489
641,1791.92875
642,1791.10050
643,1789.21881
644,1786.61652
645,1783.70493
646,1782.94491
647,1781.42216
648,1779.01081
649,1775.77732
650,1772.91619
651,1771.64533
652,1771.01444
653,1767.08280
654,1765.61961
655,1763.77793
656,1760.99856
657,1758.92886
658,1756.98456
659,1755.37936
660,1751.80919
661,1748.43821
662,1747.74137
663,1747.08557
664,1743.14844
665,1742.13694
666,1741.09751
667,1737.67956
668,1735.37617
669,1733.11282
670,1732.15385
671,1729.33295
672,1728.28881
673,1727.43679
674,1726.91574
675,1725.02517
676,1723.83074
677,1721.81643
678,1721.13685
679,1719.61790
680,1717.46932
681,1714.65326
682,1713.29580
683,1712.23945
684,1710.95148
685,1709.74383
686,1708.74830
687,1708.01415
688,1707.04715
689,1706.05362
690,1704.70569
691,1704.13436
692,1702.47747
693,1701.27061
694,1699.74822
695,1698.47611
696,1697.54991

# final positions: i, x, y, r
i,x,y,r
0,1.96640,35.50105,1.38166
1,21.39636,2.01197,1.92518
2,16.31911,27.24763,0.77138
3,18.47874,33.28199,0.76616
4,25.30034,39.97148,1.90916
5,20.09260,8.70316,0.83044
6,1.84362,26.50290,0.78476
7,33.93829,39.09806,1.72547
8,23.69142,5.75930,0.45701
9,10.58110,28.28635,1.67223
10,19.62513,40.59413,1.76728
11,25.90098,1.85503,1.68100
12,23.63433,0.71198,0.62169
13,35.59792,30.00046,0.66825
14,30.52368,41.38454,0.93980
15,24.96478,23.73047,1.94531
16,2.13246,13.97879,0.85638
17,4.48028,10.43706,1.75573
18,22.08819,26.41126,1.94869
19,8.62291,14.30810,1.48558
20,1.93749,4.09319,1.90425
21,2.64855,23.82286,0.45405
22,23.62721,36.58212,1.85912
23,28.38577,25.43802,1.59951
24,19.32763,37.84828,0.77336
25,20.07972,35.31168,1.78911
26,7.95081,1.52097,1.47064
27,11.18238,2.69873,1.72450
28,4.59055,13.37723,1.12525
29,32.84563,23.57710,1.52134
30,8.49777,35.94955,1.85363
31,13.20056,0.49831,0.32784
32,3.64583,20.08794,1.70545
33,12.82182,35.20929,1.77734
34,17.43723,34.65288,0.86039
35,29.51368,16.91763,1.90601
36,38.11303,4.03666,1.91381
37,33.02240,29.88425,1.90933
38,16.00293,15.21569,1.96585
39,22.44266,41.30727,0.94355
40,27.31843,11.03487,1.36222
41,36.42908,0.55178,0.54952
42,5.51445,40.74175,1.62017
43,32.83290,11.30741,0.67265
44,2.27601,21.49654,0.20725
45,17.62999,21.45551,1.74649
46,38.22638,19.83951,1.82647
47,11.51602,40.80368,1.54604
48,22.19824,39.12356,1.04169
49,30.29532,38.56614,1.71832
50,0.87210,6.60444,0.82282
51,31.42437,20.34163,1.98949
52,25.61702,34.61237,0.88249
53,6.46041,38.04974,0.93822
54,3.04899,8.31173,0.70461
55,36.08380,7.34066,0.66585
56,17.39288,13.34399,0.25449
57,13.84833,1.65944,0.84120
58,38.99473,41.02985,1.01963
59,36.30914,24.47384,1.95220
60,17.95646,1.50113,1.47502
61,35.93978,39.74857,0.32488
62,1.09042,20.85390,0.91037
63,13.92391,28.12199,1.57618
64,19.92875,14.62110,1.99571
65,3.16386,37.69410,0.89554
66,1.67806,22.61617,0.79510
67,38.95833,14.67233,1.07486
68,5.56561,4.76428,1.56235
69,16.85899,32.66281,0.95096
70,13.94370,21.83651,1.86174
71,14.53065,11.99871,1.54642
72,20.24019,32.19164,1.23229
73,28.02597,4.23928,1.42624
74,36.42159,16.36692,1.81245
75,32.58754,41.37802,0.88727
76,24.99396,26.89729,0.98482
77,1.98450,9.54866,0.88532
78,0.37748,31.49332,0.34933
79,17.94021,11.12615,1.86188
80,28.33069,41.11727,1.16743
81,8.87326,41.30394,0.96385
82,25.48210,16.90160,1.88305
83,8.47214,39.07957,1.12890
84,32.17113,36.50327,1.05764
85,19.58909,3.66541,0.41099
86,1.95257,40.26058,1.92174
87,32.62936,33.60451,1.64642
88,3.64680,27.69557,1.33085
89,23.80741,3.97985,1.11543
90,3.78276,16.33036,1.92192
91,7.59725,6.30491,0.90007
92,6.99944,28.78015,1.75156
93,15.40597,24.98573,1.60453
94,38.38539,8.07695,1.68716
95,35.92186,27.86133,1.36105
96,20.24893,21.15143,0.86624
97,15.52344,34.27148,0.81962
98,33.74831,21.59198,0.40825
99,9.79491,0.83440,0.47660
100,29.13541,1.50282,1.47277
101,16.89433,18.37354,1.29315
102,39.19014,1.39951,0.87472
103,23.11519,33.07919,1.59268
104,25.59699,6.19952,0.75839
105,18.52741,26.44144,1.57903
106,12.45201,7.91180,0.43665
107,26.16749,32.30957,1.38957
108,27.27532,36.96125,1.56603
109,34.96620,18.88823,1.06714
110,6.09695,18.43377,1.19431
111,14.95479,38.85996,1.88344
112,22.03877,31.02461,0.61506
113,1.35868,11.79803,1.28318
114,39.40284,32.34059,0.65612
115,9.76632,23.94599,0.45479
116,27.20467,20.40064,1.98808
117,22.38907,16.50853,1.05666
118,1.78580,1.74791,0.31932
119,38.91070,22.74006,1.13997
120,10.48226,32.91570,1.49366
121,12.18489,20.12916,0.34738
122,6.50482,34.99937,0.24940
123,37.20271,39.56699,0.93628
124,4.28050,33.84364,1.18311
125,29.47989,29.33649,0.33922
126,35.37376,35.81668,1.82387
127,24.64311,5.36672,0.48900
128,36.34118,9.40259,0.73684
129,33.02387,0.86002,0.86002
130,12.08197,14.51755,1.92435
131,7.09549,32.67740,1.66058
132,9.07400,30.74599,1.04470
133,24.91335,10.49218,0.99287
134,1.59221,37.96884,0.32763
135,12.42326,11.97917,0.25632
136,34.95048,5.24847,1.46009
137,25.89798,4.84997,0.62250
138,37.52355,11.95880,1.87348
139,15.39737,35.97055,0.86236
140,34.53110,14.49187,0.72643
141,15.60869,0.80800,0.77401
142,17.45529,38.87844,0.59975
143,35.01142,0.94537,0.89655
144,27.40682,23.60080,0.47393
145,17.19703,36.91667,1.06205
146,11.36031,30.73303,0.69961
147,27.48351,34.41354,0.98965
148,6.40002,14.32348,0.72035
149,4.19037,30.93768,1.68245
150,11.13631,37.91454,1.35351
151,13.87926,41.44333,0.87778
152,20.92254,37.79847,0.65311
153,27.60399,38.99328,0.47599
154,38.23588,29.98844,1.74870
155,36.41654,1.92099,0.75565
156,5.55853,7.59975,1.18826
157,11.57640,10.04674,1.79261
158,30.43633,27.93560,1.30240
159,10.53087,6.36623,1.68475
160,33.36239,26.58204,1.38797
161,9.62315,17.48493,1.80311
162,29.53150,31.69816,1.92564
163,13.30145,18.13342,1.86619
164,1.14200,17.38166,0.90622
165,39.34113,39.23717,0.52293
166,7.99831,19.55723,0.65720
167,33.74604,8.94225,1.86125
168,20.14942,29.48446,1.36064
169,35.74792,32.30272,1.55249
170,38.29549,26.93591,1.11067
